"sector","gear","year","nfisheries","catch_mt","catch_prop","devices","limits_yn","defacto_yn","discard_mortality","candidate"
"Artisanal","artisanal fishing gear",2014,49,679960.660512444,0.00966410323662128,"NA","less likely","NA","NA","no"
"Industrial","artisanal fishing gear",2014,6,29910.4577971071,0.000425109522936227,"NA","NA","NA","NA","no"
"Artisanal","bagnets",2014,84,1192939.74835356,0.0169549410027182,"mesh size, escape devices","less likely","less likely","low","yes"
"Industrial","beam trawl",2014,3,32590.7088668599,0.00046320323120846,"mesh size, escape devices","likely","likely","high","no"
"Artisanal","bottom trawl",2014,3,46444.8801463174,0.000660108948373932,"mesh size, escape devices","less likely","likely","high","no"
"Industrial","bottom trawl",2014,85,17889121.9268104,0.254253416635766,"mesh size, escape devices","likely","likely","high","no"
"Artisanal","cast nets",2014,65,416993.180149687,0.00592661513519993,"none","less likely","unlikely","low","yes"
"Artisanal","dragged gear",2014,1,8037.9139619953,0.000114240771337066,"mesh size, escape devices","less likely","likely","high","no"
"Artisanal","dredge",2014,6,12519.9591557163,0.000177942908797015,"mesh size, ring size, tooth spacing","less likely","likely","low","no"
"Industrial","dredge",2014,15,503909.105932109,0.00716192848264391,"mesh size, ring size, tooth spacing","likely","likely","low","no"
"Artisanal","gillnet",2014,1,30609.7094858165,0.000435047804517071,"mesh size","less likely","likely","high","no"
"Industrial","gillnet",2014,38,3092693.6192957,0.0439556464834139,"mesh size","likely","likely","high","no"
"Artisanal","hand lines",2014,3,5643.7370665671,8.02129605711983e-05,"hook size/type","less likely","less likely","medium","yes"
"Industrial","hand lines",2014,21,134023.754631487,0.00190484461254297,"hook size/type","likely","less likely","medium","no"
"Artisanal","hand or tools",2014,97,869659.326538134,0.0123602408204338,"none","less likely","unlikely","low","yes"
"Artisanal","harpoon",2014,42,12697.0371113457,0.000180459671520969,"none","less likely","unlikely","high","no"
"Artisanal","lines",2014,2,13327.9201679546,0.000189426247594221,"hook size/type","less likely","less likely","medium","yes"
"Industrial","lines",2014,12,143219.569951468,0.0020355423333938,"hook size/type","likely","less likely","medium","no"
"Artisanal","longline",2014,2,100.5261157989,1.42875142265578e-06,"hook size/type","less likely","less likely","medium","yes"
"Industrial","longline",2014,86,1710346.98882802,0.0243087149453933,"hook size/type","likely","less likely","medium","no"
"Artisanal","mixed gear",2014,13,71414.6681269451,0.00101499802189691,"NA","less likely","NA","NA","no"
"Industrial","mixed gear",2014,29,596401.112971236,0.00847649321630773,"NA","NA","NA","NA","no"
"Artisanal","other",2014,8,249807.919358977,0.00355045469864582,"NA","less likely","NA","NA","no"
"Industrial","other",2014,17,173408.457221313,0.00246460910168983,"NA","NA","NA","NA","no"
"Industrial","other industrial",2014,7,115981.528807771,0.00164841517021697,"NA","NA","NA","NA","no"
"Artisanal","other nets",2014,1,353.3317888871,5.02181241192926e-06,"NA","less likely","NA","NA","no"
"Industrial","other nets",2014,6,184892.686939706,0.00262783145856556,"NA","NA","NA","NA","no"
"Industrial","otter trawl",2014,2,7570.1989462997,0.000107593260003699,"mesh size, escape devices","likely","likely","high","no"
"Industrial","pelagic trawl",2014,41,9507034.99113514,0.135121004734684,"mesh size, escape devices","likely","likely","high","no"
"Artisanal","pole and line",2014,1,1609.313445185,2.28727515833482e-05,"hook size/type","less likely","less likely","medium","yes"
"Industrial","pole and line",2014,26,220269.41289301,0.00313063162281143,"hook size/type","likely","less likely","medium","no"
"Artisanal","pots or traps",2014,2,141467.759096825,0.0020106443033555,"escape vent","less likely","less likely","low","yes"
"Industrial","pots or traps",2014,23,194826.952697905,0.00276902458258382,"escape vent","likely","likely","low","no"
"Artisanal","purse seine",2014,1,178.9102925612,2.54280525008978e-06,"mesh size, escape devices","less likely","less likely","high","no"
"Industrial","purse seine",2014,89,13371493.9505322,0.190045550382889,"mesh size, escape devices","unlikely","unlikely","high","no"
"Recreational","recreational fishing gear",2014,4,1380.457450395,1.96200811151723e-05,"NA","likely","likely","medium","no"
"Industrial","shrimp trawl",2014,52,1173579.92047688,0.0166797848266206,"mesh size","unlikely","likely","high","no"
"Artisanal","small encircling nets",2014,1,2390.3481399783,3.39733936648725e-05,"mesh size","less likely","less likely","high","no"
"Artisanal","small scale encircling nets",2014,90,990741.364229913,0.0140811481909749,"mesh size","less likely","less likely","high","no"
"Artisanal","small scale gillnets",2014,136,4420801.79594319,0.0628317010464076,"mesh size","less likely","likely","high","no"
"Artisanal","small scale hand lines",2014,19,1058440.8765826,0.0150433436743904,"hook size/type","less likely","less likely","medium","yes"
"Artisanal","small scale lines",2014,132,1722440.22503526,0.0244805929523996,"hook size/type","less likely","less likely","medium","yes"
"Subsistence","small scale lines",2014,1,3078.0434546561,4.3747427520564e-05,"hook size/type","less likely","less likely","medium","yes"
"Artisanal","small scale longline",2014,25,285491.394487857,0.00405761460878976,"hook size/type","less likely","less likely","medium","yes"
"Artisanal","small scale other nets",2014,67,622572.15429927,0.00884845538984495,"mesh size","less likely","less likely","medium","yes"
"Artisanal","small scale pole lines",2014,7,30797.0342991763,0.000437710203153083,"hook size/type","less likely","less likely","medium","yes"
"Artisanal","small scale pots or traps",2014,135,2800732.96796246,0.0398060860170934,"escape vent","less likely","less likely","low","yes"
"Artisanal","small scale purse seine",2014,11,285864.233697657,0.00406291367507905,"mesh size, escape devices","less likely","less likely","high","no"
"Artisanal","small scale seine nets",2014,127,1138866.32423178,0.0161864095516831,"mesh size","less likely","less likely","low","yes"
"Artisanal","small scale trammel net",2014,3,2232.5966037552,3.17313122911549e-05,"mesh size","less likely","less likely","low","yes"
"Industrial","small scale trammel net",2014,4,75.4480290767,1.07232312741053e-06,"mesh size","unlikely","likely","low","no"
"Subsistence","subsistence fishing gear",2014,29,590514.660674098,0.00839283060757076,"NA","less likely","NA","NA","no"
"Artisanal","unknown by author",2014,1,47522.773404997,0.000675428763673375,"NA","less likely","NA","NA","no"
"Industrial","unknown by author",2014,1,285.9207288035,4.06371662525975e-06,"NA","NA","NA","NA","no"
"Industrial","unknown by source",2014,10,1804.6313325203,2.56487536916828e-05,"NA","NA","NA","NA","no"
"Artisanal","unknown class",2014,2,17309.9476465602,0.000246021763892627,"NA","less likely","NA","NA","no"
"Industrial","unknown class",2014,59,3501031.02031786,0.0497592392910886,"NA","NA","NA","NA","no"
